id,name,type,count,stage,demand_4p,demand_5p,demand_6p,effect,notes,status
T01,青霄试雷,天劫,1,初劫,3,4,4,无额外效果,基础教学牌,draft
T02,流火雷雨,天劫,1,初劫,4,5,5,无额外效果,较高需求,draft
T03,枯灵风,天劫,1,初劫,3,4,4,本轮每人只吐纳2灵力,先揭示再吐纳,draft
T04,散魄雷,天劫,1,初劫,3,4,4,本轮普通雷击需要失去3灵力才能完全承受,体修与减伤仍照常修改,draft
T05,禁符微劫,天劫,1,初劫,3,4,4,本轮不能主动打出一次性机缘牌；反应牌与已装备法宝仍有效,人物神通不受影响,draft
T06,回光灵雨,天劫,1,初劫,2,3,3,若本轮没有产生雷击则结算后功德最低者获得1灵力,多人并列都获得,draft
T07,地火焚台,天劫,1,重劫,4,5,6,无额外效果,中段基础牌,draft
T08,五雷轰顶,天劫,1,重劫,5,6,7,无额外效果,中段高需求,draft
T09,万法寂灭,天劫,1,重劫,4,5,6,本轮不能打出任何机缘牌且法宝文字失效,人物能力仍有效,draft
T10,夺灵黑雾,天劫,1,重劫,4,5,6,本轮每人只吐纳2灵力,先揭示再吐纳,draft
T11,天妒雷纹,天劫,1,重劫,4,5,6,雷击顺序的修为比较改为功德较高者优先,抗劫投入仍是第一比较项,draft
T12,返照天光,天劫,1,重劫,3,4,5,若本轮没有产生雷击则结算后移除1道裂痕,没有裂痕则无事发生,draft
T13,九霄紫雷,天劫,1,灭世劫,6,7,8,无额外效果,后段基础牌,draft
T14,群星坠落,天劫,1,灭世劫,7,8,9,无额外效果,最高常规需求,draft
T15,法宝失灵,天劫,1,灭世劫,6,7,8,本轮所有已装备法宝文字失效,一次性机缘与人物能力仍有效,draft
T16,灭魂罡风,天劫,1,灭世劫,6,7,8,本轮普通雷击需要失去3灵力才能完全承受,体修与减伤仍照常修改,draft
T17,破台天罚,天劫,1,灭世劫,5,6,7,若产生雷击则第一击直接令登仙台获得1道裂痕；其余雷击正常分配,可在裂痕放置前反应,draft
T18,天道震怒,天劫,1,灭世劫,6,7,8,若揭示时登仙台已有2道裂痕则本牌需求增加2,最终需求公开后再决策,draft
