id,name,type,count,trigger,cost,effect,restriction,public_information,notes,status
R01,剑修,人物,1,选择抗劫且投入至少2灵力,无,被动：额外产生1点虚拟抗劫贡献,虚拟贡献不产生功德,全部公开,本命神通见下一行,draft
R01-U,一剑开天,本命神通,1,揭晓后,每局一次,本轮增加3点虚拟抗劫贡献,不占机缘牌使用上限,使用状态公开,剑修专属,draft
R02,丹修,人物,1,任意玩家将因灵力低于当前雷击成本而失去修为时,支付1灵力,被动：防止该次修为损失且雷击视为已承受,每轮一次且可对自己使用,全部公开,悬壶,draft
R02-U,九转金丹,本命神通,1,机缘窗口,每局一次,选择一人恢复最多2修为并获得2灵力,不超过轨道上限,使用状态公开,丹修专属,draft
R03,符修,人物,1,执行探索,无,被动：抽3张留1张而非抽2张留1张,其余牌照常弃置,全部公开,探符,draft
R03-U,镇界符,本命神通,1,揭示天劫后且吐纳前,每局一次,本轮忽略天劫特殊文字但不改变需求数值,不影响阶段和轮数,使用状态公开,符修专属,draft
R04,阵修,人物,1,选择修台且投入至少2灵力,无,被动：额外产生1点虚拟修台贡献,虚拟贡献不产生功德,全部公开,阵理通明,draft
R04-U,逆转阵眼,本命神通,1,一道裂痕将令总数达到3时,每局一次,取消这道裂痕,不占机缘牌使用上限,使用状态公开,阵修专属,draft
R05,法修,人物,1,揭晓后且机缘窗口前,无,被动：向本轮投入增加1灵力或取回1灵力,每轮一次且投入仍不得超过3,全部公开,御气,draft
R05-U,移星换斗,本命神通,1,揭晓后,每局一次,把自己最多3点投入在修台与抗劫之间转换,转换后仍视为只执行一个行动,使用状态公开,法修专属,draft
R06,体修,人物,1,每轮第一次承受雷击,无,被动：只失去1灵力；若无灵力则失去1修为,每轮只影响第一次,全部公开,金刚体,draft
R06-U,法天象地,本命神通,1,分配雷击前,每局一次,先承受最多3次雷击；每次失去1灵力或在无灵力时失去1修为,玩家自行决定承受次数,使用状态公开,体修专属,draft
R07,邪修,人物,1,另一名玩家因雷击失去灵力或修为后,无,被动：获得1灵力,每轮一次且受储存上限限制,全部公开,借劫炼魂,draft
R07-U,夺运,本命神通,1,揭晓后,每局一次,从一名非探索玩家的本轮投入取走1灵力并加入储存区,目标行动仍会结算,使用状态公开,邪修专属,draft
