id,name,type,count,main_fate,main_reward,obsession,obsession_reward,evaluation_time,notes,status
F01,护道因果,秘密天命,1,因果对象的修为至少为6,2功德,你的剩余灵力至少为5,1功德,启动后且加天命分前,因果对象为左手玩家,draft
F02,压胜之命,秘密天命,1,你的印刷功德高于因果对象,2功德,你的修为至少为8,1功德,启动后且加天命分前,比较印刷功德,draft
F03,共登之约,秘密天命,1,你与因果对象的修为都至少为6,2功德,你装备着法宝,1功德,启动后且加天命分前,不要求最终都取得席位,draft
F04,断其仙缘,秘密天命,1,因果对象的修为不高于5,2功德,你的剩余灵力恰好为0,1功德,启动后且加天命分前,负向因果,draft
F05,劫富命数,秘密天命,1,因果对象的剩余灵力不高于1,2功德,你的手牌至少为2张,1功德,启动后且加天命分前,只看储存区,draft
F06,养运待割,秘密天命,1,因果对象的剩余灵力至少为5,2功德,你的修为恰好为6,1功德,启动后且加天命分前,正负意图不公开,draft
F07,道高一尺,秘密天命,1,你的修为高于因果对象,2功德,你的印刷功德至少为10,1功德,启动后且加天命分前,比较当前修为,draft
F08,同境相争,秘密天命,1,你的修为与因果对象相同,2功德,你的手牌为0张,1功德,启动后且加天命分前,相等即可,draft
F09,功德债主,秘密天命,1,因果对象的印刷功德至少为8,2功德,你与因果对象的印刷功德差不超过2,1功德,启动后且加天命分前,差值取绝对值,draft
F10,恶名相照,秘密天命,1,因果对象的印刷功德不高于5,2功德,你装备着法宝,1功德,启动后且加天命分前,负向因果,draft
F11,宝光招劫,秘密天命,1,因果对象装备着法宝,2功德,你的剩余灵力至少为4,1功德,启动后且加天命分前,只看当前装备,draft
F12,两手空空,秘密天命,1,因果对象的手牌为0张,2功德,你的修为至少为7,1功德,启动后且加天命分前,装备牌不计入手牌,draft
